DateTime,QR_q0.1,QR_q0.2,QR_q0.3,QR_q0.4,QR_q0.5,QR_q0.6,QR_q0.7,QR_q0.8,QR_q0.9
2023-01-09 00:00:00,50.14999999999999,81.2,121.00999999999999,140.26,165.89000000000001,202.52,291.935,303.54,324.395
2023-01-09 01:00:00,35.05500000000001,69.31999999999998,112.365,134.21000000000004,150.46500000000003,183.63,276.11499999999995,299.56,314.18500000000006
2023-01-09 02:00:00,27.99000000000001,52.92999999999999,109.29,130.01,144.69499999999996,188.59000000000003,269.565,288.53,303.67
2023-01-09 03:00:00,11.235000000000005,67.0,93.72500000000001,117.5,134.68,178.98000000000002,248.625,274.07,288.52
2023-01-09 04:00:00,9.375000000000002,50.07999999999999,93.65,115.73,137.53500000000003,170.62,242.14000000000001,274.14,287.86
2023-01-09 05:00:00,13.674999999999994,69.72,105.55,133.1,152.965,182.21000000000004,246.64999999999998,287.41,304.17
2023-01-09 06:00:00,38.13499999999999,108.19,145.27999999999997,164.27,181.97000000000003,218.51999999999998,269.99,329.32,359.36
2023-01-09 07:00:00,69.25000000000001,136.76,177.89999999999998,201.08000000000004,230.36999999999998,259.45,300.46,418.0,453.20000000000005
2023-01-09 08:00:00,92.92999999999999,151.89,193.695,221.16999999999996,249.68000000000004,291.25,330.97499999999997,455.68,490.22
2023-01-09 09:00:00,98.25000000000001,157.92,178.22,222.2,243.745,294.94,321.175,447.91999999999996,502.60999999999996
2023-01-09 10:00:00,93.19000000000001,130.85,175.04,214.35000000000002,235.46500000000003,279.8,329.35499999999996,437.00000000000006,492.37499999999994
2023-01-09 11:00:00,84.6,133.5,166.56500000000003,205.21000000000004,238.77000000000004,253.36,336.33,436.12,488.19
2023-01-09 12:00:00,70.3,130.68000000000004,162.75,199.50999999999996,230.205,261.24,341.52,422.4,455.90000000000003
2023-01-09 13:00:00,75.25000000000001,126.96999999999997,163.01000000000002,198.85000000000005,220.785,257.29,325.54,424.26000000000005,450.97499999999997
2023-01-09 14:00:00,83.32999999999998,137.95999999999998,177.735,207.32000000000002,236.6,261.82,322.08500000000004,418.92,457.605
2023-01-09 15:00:00,85.56000000000002,145.93999999999997,174.59,220.58,239.625,283.5,326.21000000000004,436.74,461.95
2023-01-09 16:00:00,97.065,151.88,181.585,217.19,242.66999999999996,288.2,346.275,454.07,481.7899999999999
2023-01-09 17:00:00,131.14499999999998,175.81,219.625,252.60000000000002,276.82,315.92,399.85499999999996,479.4,504.275
2023-01-09 18:00:00,140.51500000000001,179.17,219.25500000000002,255.48,274.085,315.41,418.445,472.83,503.16
2023-01-09 19:00:00,128.565,169.99,208.535,223.5,258.725,290.61,370.06,461.97,485.915
2023-01-09 20:00:00,116.39,153.0,177.8,207.87,236.11,277.23,330.795,400.0,438.40000000000003
2023-01-09 21:00:00,102.11500000000001,128.8,151.695,164.55,211.685,232.05,306.0,340.01,372.36
2023-01-09 22:00:00,93.70000000000002,124.02,147.34,166.33,199.965,218.99,295.64,324.56,346.775
2023-01-09 23:00:00,75.51,110.78,124.33,158.63,178.23,209.46000000000004,278.995,313.0,328.805
2023-01-10 00:00:00,50.14999999999999,81.2,121.00999999999999,140.26,165.89000000000001,202.52,291.935,303.54,324.395
2023-01-10 01:00:00,35.05500000000001,69.31999999999998,112.365,134.21000000000004,150.46500000000003,183.63,276.11499999999995,299.56,314.18500000000006
2023-01-10 02:00:00,27.99000000000001,52.92999999999999,109.29,130.01,144.69499999999996,188.59000000000003,269.565,288.53,303.67
2023-01-10 03:00:00,11.235000000000005,67.0,93.72500000000001,117.5,134.68,178.98000000000002,248.625,274.07,288.52
2023-01-10 04:00:00,9.375000000000002,50.07999999999999,93.65,115.73,137.53500000000003,170.62,242.14000000000001,274.14,287.86
2023-01-10 05:00:00,13.674999999999994,69.72,105.55,133.1,152.965,182.21000000000004,246.64999999999998,287.41,304.17
2023-01-10 06:00:00,38.13499999999999,108.19,145.27999999999997,164.27,181.97000000000003,218.51999999999998,269.99,329.32,359.36
