,qh1,qh2,qh3,qh4
2024-09-22 14:45:00,271.74,-513.08,39.0,219.767
2024-09-22 15:00:00,-513.08,39.0,219.767,236.478
2024-09-22 15:15:00,39.0,219.767,236.478,-503.406
2024-09-22 15:30:00,219.767,236.478,-503.406,249.52
2024-09-22 15:45:00,236.478,-503.406,249.52,256.096
2024-09-22 16:00:00,-503.406,249.52,256.096,264.84
2024-09-22 16:15:00,249.52,256.096,264.84,-452.082
2024-09-22 16:30:00,256.096,264.84,-452.082,-188.266
2024-09-22 16:45:00,264.84,-452.082,-188.266,57.57
2024-09-22 17:00:00,-452.082,-188.266,57.57,57.57
2024-09-22 17:15:00,-188.266,57.57,57.57,295.498
2024-09-22 17:30:00,57.57,57.57,295.498,42.5
2024-09-22 17:45:00,57.57,295.498,42.5,-548.156
2024-09-22 18:00:00,295.498,42.5,-548.156,272.098
2024-09-22 18:15:00,42.5,-548.156,272.098,319.32
2024-09-22 18:30:00,-548.156,272.098,319.32,257.043
2024-09-22 18:45:00,272.098,319.32,257.043,-543.325
2024-09-22 19:00:00,319.32,257.043,-543.325,-591.547
